SOURCE_FILE,SOURCE_SHEET,SOURCE_ROW,DOCUMENT_TYPE,RAW_DESCRIPTION,NORMALIZED_DESCRIPTION,QUANTITY,RAW_UNIT_PRICE,PRICE_EXCL_TAX,PRICE_STATUS,IS_SERVICE,IS_FOOD,IS_MEAT,CATEGORY,UOM,IDENTITY_KEY,CURRENCY
COTIZACIONES_0.2_b68c.xlsx,Factura 4,23,INVOICE,Hormigon Asfaltico,hormigon asfaltico,29.0,12000.0,12000.0,RECONCILED_SUBTOTAL,False,False,False,Construcción,m³,hormigon|asfaltico,DOP
COTIZACIONES_0.2_b68c.xlsx,Factura 4,24,INVOICE,"Construccion Conten, Acera y Platea",construccion conten acera y platea,,,,MISSING_VALID_PRICE,False,False,False,Ferretería,Units,construccion|conten|acera|platea,DOP
COTIZACIONES_0.2_b68c.xlsx,Factura 4,25,INVOICE,Acera en Hormigon 210 kg/cm2- e=0.10m   (Violinada),acera en hormigon 210 kg/cm2- e 0.10m violinada,1.0,10300.0,10300.0,RECONCILED_SUBTOTAL,False,False,False,Construcción,m³,acera|hormigon|210|kg/cm2-|e|0.10m|violinada|210 kg,DOP
COTIZACIONES_0.2_b68c.xlsx,Factura 4,26,INVOICE,Conten pulido de  h=0.20m,conten pulido de h 0.20m,8.0,1200.0,1200.0,RECONCILED_SUBTOTAL,False,False,False,Ferretería,Units,conten|pulido|h|0.20m,DOP
COTIZACIONES_0.2_b68c.xlsx,Factura 4,27,INVOICE,Platea en Hormigon 210 kg/cm2-h:0.10  con malla electrosold. D2.3 20x20,platea en hormigon 210 kg/cm2-h 0.10 con malla electrosold. d2.3 20x20,2.0,10000.0,10000.0,RECONCILED_SUBTOTAL,False,False,False,Construcción,m³,platea|hormigon|210|kg/cm2-h|0.10|malla|electrosold.|d2.3|210 kg,DOP
COTIZACIONES_0.2_b68c.xlsx,Factura 4,28,INVOICE,Construccion Pandereta p/division en Sheetrock,construccion pandereta p/division en sheetrock,,,,MISSING_VALID_PRICE,False,False,False,Ferretería,Units,construccion|pandereta|p/division|sheetrock,DOP
COTIZACIONES_0.2_b68c.xlsx,Factura 4,29,INVOICE,Pandereta en Sheetrock,pandereta en sheetrock,1.0,55000.0,55000.0,RECONCILED_SUBTOTAL,False,False,False,Ferretería,Units,pandereta|sheetrock,DOP
COTIZACIONES_0.2_b68c.xlsx,Factura 4,37,INVOICE,TRANSPORTE,transporte,5.0,,6271.0,FROM_SUBTOTAL,False,False,False,Ferretería,Units,transporte,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo2,9,COST_ANALYSIS,Volumen Análisis,volumen analisis,1.0,,,COST_NOT_SALE_PRICE,False,False,False,Ferretería,m³,volumen|analisis,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo2,10,COST_ANALYSIS,Materiales y Equipos,materiales y equipos,,,,COST_NOT_SALE_PRICE,False,False,False,Ferretería,Units,materiales|equipos,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo2,11,COST_ANALYSIS,Malla Electrosoldada D2.3 10x10mm + 10% desp.,malla electrosoldada d2.3 10x10mm 10% desp.,0.11,16681.36,,COST_NOT_SALE_PRICE,False,False,False,Ferretería,Units,malla|electrosoldada|d2.3|10x10|mm|10%|desp.,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo2,12,COST_ANALYSIS,Hormigón industrial 210Kg/cm2 - 10% desp,hormigon industrial 210kg/cm2 - 10% desp,1.1,5652.54,,COST_NOT_SALE_PRICE,False,False,False,Construcción,m³,hormigon|industrial|210|kg/cm2|-|10%|desp|210 kg,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo2,13,COST_ANALYSIS,Alambre Dulce No. 18,alambre dulce no. 18,1.1,93.22,,COST_NOT_SALE_PRICE,False,False,False,Ferretería,lb,alambre|dulce|no.|18,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo2,14,COST_ANALYSIS,Mano de Obra,mano de obra,,,,COST_NOT_SALE_PRICE,True,False,False,Servicios,Units,mano|obra,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo2,15,COST_ANALYSIS,Preparación superficie - Ayudante AY,preparacion superficie - ayudante ay,0.1,847.0,,COST_NOT_SALE_PRICE,True,False,False,Servicios,Days,preparacion|superficie|-|ayudante|ay,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo2,16,COST_ANALYSIS,Mano de Obra colocación malla,mano de obra colocacion malla,10.0,38.51,,COST_NOT_SALE_PRICE,True,False,False,Servicios,m²,mano|obra|colocacion|malla,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo2,17,COST_ANALYSIS,Mano de obra frotado y violinado,mano de obra frotado y violinado,10.0,174.73,,COST_NOT_SALE_PRICE,True,False,False,Servicios,m²,mano|obra|frotado|violinado,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo2,18,COST_ANALYSIS,Total/UND,total/und,,,,COST_NOT_SALE_PRICE,False,False,False,Ferretería,Units,total/und,DOP
COTIZACIONES_0.2_b68c.xlsx,Analisis de Costo2,19,COST_ANALYSIS,TOTAL/M3,total/m3,,,,COST_NOT_SALE_PRICE,False,False,False,Ferretería,Units,total/m3,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,15,QUOTATION,Preliminares,preliminares,,,,MISSING_VALID_PRICE,False,False,False,Ferretería,Units,preliminares,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,16,QUOTATION,Verificacion y analisis de ploblemas en sistema de congelador y cuarto frio,verificacion y analisis de ploblemas en sistema de congelador y cuarto frio,1.0,12000.0,12000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,verificacion|analisis|ploblemas|sistema|congelador|cuarto|frio,DOP
COTIZACIONES_0.2_b68c.xlsx,Cotizacion3,17,QUOTATION,Suministro de limpiador de humedad y limpieza de tuberia de refrigeracion,suministro de limpiador de humedad y limpieza de tuberia de refrigeracion,1.0,10000.0,10000.0,RECONCILED_SUBTOTAL,True,False,False,Servicios,Units,suministro|limpiador|humedad|limpieza|tuberia|refrigeracion,DOP
