RAW,NORMALIZED,IDENTITY,BRAND,IS_SERVICE,IS_FOOD,IS_MEAT
Division en sheetrock,division en sheetrock,division|sheetrock,,False,False,False
Construccion de drenaje en planta de Oxigeno Medico,construccion de drenaje en planta de oxigeno medico,construccion|drenaje|planta|oxigeno|medico,,False,False,False
DIRECCION TECNICA,direccion tecnica,direccion|tecnica,,False,False,False
TRANSPORTE,transporte,transporte,,False,False,False
Tubo led 18w 48'' 6000k,tubo led 18w 48 6000k,tubo|led|18|w|48|6000k|18W,,False,False,False
Tape scotch super 33 3m,tape scotch super 33 3m,tape|scotch|super|33|3m,,False,False,False
Roseta porcelana leviton,roseta porcelana leviton,roseta|porcelana|leviton,,False,False,False
Cable #14 AWG thhn negro,cable 14 awg thhn negro,cable|14|awg|thhn|negro,,False,False,False
Candado Yale 70 mm 110-70,candado yale 70 mm 110-70,candado|yale|70|mm|110-70,,False,False,False
Bombillo led 20w sylvania 20w-6500k,bombillo led 20w sylvania 20w-6500k,bombillo|led|20|w|sylvania|20|w-6500k|W-6500K|20W,,False,False,False
PINTURA POPULAR EXT-INT PRO BLANCO 50,pintura popular ext-int pro blanco 50,pintura|popular|ext-int|pro|blanco|50,,False,False,False
PINTURA POPULAR EXT-INT PRO  ARENA 23,pintura popular ext-int pro arena 23,pintura|popular|ext-int|pro|arena|23,,False,False,False
PINTURA TROPICAL CONTRACTOR NEGRO 53 POSITIVO,pintura tropical contractor negro 53 positivo,pintura|tropical|contractor|negro|53|positivo,Tropical,False,False,False
VARILLA DE 1/2'',varilla de 1/2,varilla|1/2|1/2,,False,False,False
BLOCK DE 8''  FRABRICA P.108,block de 8 frabrica p.108,block|8|frabrica|p.108,,False,False,False
PINTURA ACRILICA ROJO POSITVO POPULAR,pintura acrilica rojo positvo popular,pintura|acrilica|rojo|positvo|popular,,False,False,False
PINTURA ACRILICA AZUL POSITVO POPULAR,pintura acrilica azul positvo popular,pintura|acrilica|azul|positvo|popular,,False,False,False
